,y,a
1061,2015-09-22,389594
1062,2015-09-23,389977
1063,2015-09-24,390207
1064,2015-09-25,390364
1065,2015-09-26,390651
1066,2015-09-27,390889
1067,2015-09-28,391121
1068,2015-09-29,391356
1069,2015-09-30,391624
1070,2015-10-01,391874
1071,2015-10-02,392013
1072,2015-10-03,392266
1073,2015-10-04,392771
1074,2015-10-05,393095
1075,2015-10-06,393318
1076,2015-10-07,393510
1077,2015-10-08,393778
1078,2015-10-09,394013
1079,2015-10-10,394292
1080,2015-10-11,394573
1081,2015-10-12,394767
1082,2015-10-13,395084
1083,2015-10-14,395329
1084,2015-10-15,395501
1085,2015-10-16,395635
1086,2015-10-17,395845
1087,2015-10-18,396091
1088,2015-10-19,396300
1089,2015-10-20,396592
1090,2015-10-21,396808
1091,2015-10-22,397020
1092,2015-10-23,397183
1093,2015-10-24,397443
1094,2015-10-25,397711
1095,2015-10-26,397967
1096,2015-10-27,398209
1097,2015-10-28,398441
1098,2015-10-29,398621
1099,2015-10-30,398784
1100,2015-10-31,399054
1101,2015-11-01,399347
1102,2015-11-02,399618
1103,2015-11-03,399878
1104,2015-11-04,400201
1105,2015-11-05,400487
1106,2015-11-06,400692
1107,2015-11-07,400961
1108,2015-11-08,401379
1109,2015-11-09,401650
1110,2015-11-10,401860
1111,2015-11-11,402095
1112,2015-11-12,402322
1113,2015-11-13,402559
1114,2015-11-14,402831
1115,2015-11-15,403109
1116,2015-11-16,403326
1117,2015-11-17,403679
1118,2015-11-18,403905
1119,2015-11-19,404126
1120,2015-11-20,404342
1121,2015-11-21,404713
1122,2015-11-22,405003
1123,2015-11-23,405289
1124,2015-11-24,405619
1125,2015-11-25,405899
1126,2015-11-26,406139
1127,2015-11-27,406336
1128,2015-11-28,406700
1129,2015-11-29,406997
1130,2015-11-30,407245
1131,2015-12-01,407593
1132,2015-12-02,407873
1133,2015-12-03,408109
1134,2015-12-04,408337
1135,2015-12-05,408649
1136,2015-12-06,409059
1137,2015-12-07,409304
1138,2015-12-08,409596
1139,2015-12-09,409900
1140,2015-12-10,410168
1141,2015-12-11,410332
1142,2015-12-12,410554
1143,2015-12-13,410831
1144,2015-12-14,411206
1145,2015-12-15,410371
1146,2015-12-16,409531
1147,2015-12-17,408775
1148,2015-12-18,408123
1149,2015-12-19,407516
1150,2015-12-20,406879
