,y,a
1011,2015-08-04,300
1012,2015-08-05,336
1013,2015-08-06,349
1014,2015-08-07,287
1015,2015-08-08,358
1016,2015-08-09,466
1017,2015-08-10,316
1018,2015-08-11,387
1019,2015-08-12,377
1020,2015-08-13,296
1021,2015-08-14,235
1022,2015-08-15,317
1023,2015-08-16,394
1024,2015-08-17,344
1025,2015-08-18,381
1026,2015-08-19,381
1027,2015-08-20,285
1028,2015-08-21,227
1029,2015-08-22,278
1030,2015-08-23,367
1031,2015-08-24,339
1032,2015-08-25,300
1033,2015-08-26,247
1034,2015-08-27,269
1035,2015-08-28,243
1036,2015-08-29,341
1037,2015-08-30,384
1038,2015-08-31,400
1039,2015-09-01,384
1040,2015-09-02,269
1041,2015-09-03,269
1042,2015-09-04,269
1043,2015-09-05,182
1044,2015-09-06,294
1045,2015-09-07,213
1046,2015-09-08,290
1047,2015-09-09,220
1048,2015-09-10,168
1049,2015-09-11,206
1050,2015-09-12,383
1051,2015-09-13,341
1052,2015-09-14,267
1053,2015-09-15,350
1054,2015-09-16,382
1055,2015-09-17,294
1056,2015-09-18,179
1057,2015-09-19,278
1058,2015-09-20,293
1059,2015-09-21,230
1060,2015-09-22,466
1061,2015-09-23,383
1062,2015-09-24,230
1063,2015-09-25,157
1064,2015-09-26,287
1065,2015-09-27,238
1066,2015-09-28,232
1067,2015-09-29,235
1068,2015-09-30,268
1069,2015-10-01,250
1070,2015-10-02,139
1071,2015-10-03,253
1072,2015-10-04,505
1073,2015-10-05,324
1074,2015-10-06,223
1075,2015-10-07,192
1076,2015-10-08,268
1077,2015-10-09,235
1078,2015-10-10,279
1079,2015-10-11,281
1080,2015-10-12,194
1081,2015-10-13,317
1082,2015-10-14,245
1083,2015-10-15,172
1084,2015-10-16,134
1085,2015-10-17,210
1086,2015-10-18,246
1087,2015-10-19,209
1088,2015-10-20,292
1089,2015-10-21,216
1090,2015-10-22,212
1091,2015-10-23,163
1092,2015-10-24,260
1093,2015-10-25,268
1094,2015-10-26,256
1095,2015-10-27,242
1096,2015-10-28,232
1097,2015-10-29,180
1098,2015-10-30,163
1099,2015-10-31,270
1100,2015-11-01,293
1101,2015-11-02,271
1102,2015-11-03,260
1103,2015-11-04,323
1104,2015-11-05,286
1105,2015-11-06,205
1106,2015-11-07,269
1107,2015-11-08,418
1108,2015-11-09,271
1109,2015-11-10,210
1110,2015-11-11,235
1111,2015-11-12,227
1112,2015-11-13,237
1113,2015-11-14,272
1114,2015-11-15,278
1115,2015-11-16,217
1116,2015-11-17,353
1117,2015-11-18,226
1118,2015-11-19,221
1119,2015-11-20,216
1120,2015-11-21,371
1121,2015-11-22,290
1122,2015-11-23,286
1123,2015-11-24,330
1124,2015-11-25,280
1125,2015-11-26,240
1126,2015-11-27,197
1127,2015-11-28,364
1128,2015-11-29,297
1129,2015-11-30,248
1130,2015-12-01,348
1131,2015-12-02,280
1132,2015-12-03,236
1133,2015-12-04,228
1134,2015-12-05,312
1135,2015-12-06,410
1136,2015-12-07,245
1137,2015-12-08,292
1138,2015-12-09,304
1139,2015-12-10,268
1140,2015-12-11,164
1141,2015-12-12,222
1142,2015-12-13,277
1143,2015-12-14,375
1144,2015-12-15,-835
1145,2015-12-16,-840
1146,2015-12-17,-756
1147,2015-12-18,-652
1148,2015-12-19,-607
1149,2015-12-20,-637
1150,2015-12-21,-680
1151,2015-12-22,-642
1152,2015-12-23,-636
1153,2015-12-24,-724
1154,2015-12-25,-743
1155,2015-12-26,-510
1156,2015-12-27,-587
1157,2015-12-28,-481
1158,2015-12-29,-510
1159,2015-12-30,-550
1160,2015-12-31,-413
1161,2016-01-01,-367
1162,2016-01-02,-158
1163,2016-01-03,-169
1164,2016-01-04,-62
1165,2016-01-05,-107
1166,2016-01-06,355
1167,2016-01-07,264
1168,2016-01-08,259
1169,2016-01-09,259
1170,2016-01-10,303
1171,2016-01-11,345
1172,2016-01-12,321
1173,2016-01-13,246
1174,2016-01-14,289
1175,2016-01-15,219
1176,2016-01-16,249
1177,2016-01-17,276
1178,2016-01-18,273
1179,2016-01-19,197
1180,2016-01-20,259
1181,2016-01-21,220
1182,2016-01-22,200
1183,2016-01-23,355
1184,2016-01-24,312
1185,2016-01-25,317
1186,2016-01-26,285
1187,2016-01-27,262
1188,2016-01-28,227
1189,2016-01-29,170
